Region,Suburb,Crime,Year,Quarter,Number,Population,Rate,Covid
Belconnen,Aranda,Homicide,2014,Q1,0,2477,0.0,Pre
Belconnen,Belconnen,Homicide,2014,Q1,0,6332,0.0,Pre
Belconnen,Bruce,Homicide,2014,Q1,0,7010,0.0,Pre
Belconnen,Charnwood,Homicide,2014,Q1,0,3074,0.0,Pre
Belconnen,Cook,Homicide,2014,Q1,0,2949,0.0,Pre
Belconnen,Dunlop,Homicide,2014,Q1,0,7273,0.0,Pre
Belconnen,Evatt,Homicide,2014,Q1,0,5379,0.0,Pre
Belconnen,Florey,Homicide,2014,Q1,0,5065,0.0,Pre
Belconnen,Flynn,Homicide,2014,Q1,0,3531,0.0,Pre
Belconnen,Fraser,Homicide,2014,Q1,0,2118,0.0,Pre
Belconnen,Giralang,Homicide,2014,Q1,0,3351,0.0,Pre
Belconnen,Hawker,Homicide,2014,Q1,0,2952,0.0,Pre
Belconnen,Higgins,Homicide,2014,Q1,0,3128,0.0,Pre
Belconnen,Holt,Homicide,2014,Q1,0,4734,0.0,Pre
Belconnen,Kaleen,Homicide,2014,Q1,0,7448,0.0,Pre
Belconnen,Latham,Homicide,2014,Q1,0,3656,0.0,Pre
Belconnen,Macgregor,Homicide,2014,Q1,0,6530,0.0,Pre
Belconnen,Macquarie,Homicide,2014,Q1,0,2753,0.0,Pre
Belconnen,McKellar,Homicide,2014,Q1,1,2853,0.3505082369435681,Pre
Belconnen,Melba,Homicide,2014,Q1,0,3221,0.0,Pre
Belconnen,Page,Homicide,2014,Q1,0,3010,0.0,Pre
Belconnen,Scullin,Homicide,2014,Q1,0,2941,0.0,Pre
Belconnen,Spence,Homicide,2014,Q1,0,2605,0.0,Pre
Belconnen,Weetangera,Homicide,2014,Q1,0,2668,0.0,Pre
Belconnen,Aranda,Family Violence,2014,Q1,0,2477,0.0,Pre
Belconnen,Belconnen,Family Violence,2014,Q1,2,6332,0.3158559696778269,Pre
Belconnen,Bruce,Family Violence,2014,Q1,1,7010,0.1426533523537803,Pre
Belconnen,Charnwood,Family Violence,2014,Q1,2,3074,0.6506180871828238,Pre
Belconnen,Cook,Family Violence,2014,Q1,0,2949,0.0,Pre
Belconnen,Dunlop,Family Violence,2014,Q1,1,7273,0.1374948439433521,Pre
Belconnen,Evatt,Family Violence,2014,Q1,4,5379,0.7436326454731363,Pre
Belconnen,Florey,Family Violence,2014,Q1,4,5065,0.7897334649555774,Pre
Belconnen,Flynn,Family Violence,2014,Q1,1,3531,0.2832058906825261,Pre
Belconnen,Fraser,Family Violence,2014,Q1,1,2118,0.4721435316336166,Pre
Belconnen,Giralang,Family Violence,2014,Q1,1,3351,0.2984183825723664,Pre
Belconnen,Hawker,Family Violence,2014,Q1,0,2952,0.0,Pre
Belconnen,Higgins,Family Violence,2014,Q1,1,3128,0.319693094629156,Pre
Belconnen,Holt,Family Violence,2014,Q1,2,4734,0.4224757076468103,Pre
Belconnen,Kaleen,Family Violence,2014,Q1,1,7448,0.1342642320085929,Pre
Belconnen,Latham,Family Violence,2014,Q1,2,3656,0.5470459518599562,Pre
Belconnen,Macgregor,Family Violence,2014,Q1,0,6530,0.0,Pre
